CustomerID,Total_Balance_per_cus,Total_transaction_value_per_cus,transaction_frequency_per_cus,avg_transaction_per_cus,Acc_per_customer,Loans_per_customer,Total_loan_amt_per_cus
10000,54403.26,81668.04,36.0,2268.5566666666664,1,,
10001,20267.12,79751.86,35.0,2278.6245714285715,1,,
10002,266582.75,329807.9,126.0,2617.523015873016,4,1.0,72913.28
10003,34279.17,93491.58,32.0,2921.611875,1,,
10004,87029.08,160128.79,58.0,2760.8412068965517,2,,
10005,,,,,1,,
10006,162691.56,208451.1,76.0,2742.7776315789474,3,1.0,16484.84
10007,,,,,1,,
10008,,,,,1,,
10009,156569.6,196014.91,77.0,2545.648181818182,2,,
10010,122810.14,224219.7,94.0,2385.3159574468086,3,2.0,50789.62
10011,65697.87,100067.21,40.0,2501.6802500000003,1,,
10012,1278.55,71507.22,29.0,2465.766206896552,1,,
10013,74732.41,85010.52,33.0,2576.0763636363636,1,,
10014,83513.23,89288.62,32.0,2790.269375,1,,
10015,,,,,1,,
10016,82326.71,84594.94,40.0,2114.8735,1,,
10017,,,,,1,,
10018,1818.33,80074.42,35.0,2287.8405714285714,1,,
10019,,,,,1,,
10020,133576.82,170409.44,75.0,2272.1258666666668,3,,
10021,18192.08,84328.91,31.0,2720.2874193548387,1,,
10022,,,,,1,,
10023,144870.91,314621.22,129.0,2438.9241860465113,4,1.0,23508.35
10024,72439.01000000001,238192.36,99.0,2405.983434343434,3,,
10025,11829.41,49061.9,27.0,1817.1074074074074,1,1.0,8876.03
10026,51455.37,98713.46,34.0,2903.33705882353,1,,
10027,151987.75,142877.43,60.0,2381.2905,2,,
10028,78312.0,98457.59,33.0,2983.563333333333,1,1.0,87783.19
10029,,,,,1,,
10030,119335.76000000001,168487.91,62.0,2717.546935483871,2,,
10031,,,,,1,,
10032,1898.32,87805.56999999999,39.0,2251.4248717948717,1,1.0,1374.12
10033,92935.51,63207.36,25.0,2528.2944,1,,
10034,,,,,1,,
10035,329763.98,593330.19,232.0,2557.457715517241,5,,
10036,52966.75,171049.66999999998,72.0,2375.689861111111,2,,
10037,55059.95,144523.07,63.0,2294.0169841269844,2,1.0,28287.79
10038,13231.48,60250.32,25.0,2410.0128,1,,
10039,89259.07,113869.74,60.0,1897.8290000000002,2,2.0,148767.57
10040,8485.52,51119.3,26.0,1966.1269230769233,1,1.0,99830.33
10041,30914.75,78228.09,29.0,2697.520344827586,1,,
10042,88473.99,52082.32,28.0,1860.0828571428572,1,,
10043,169216.84,125651.09,57.0,2204.405087719298,2,,
10044,10177.2,71483.27,30.0,2382.775666666667,1,,
10045,153375.39,220153.56,88.0,2501.745,3,1.0,47361.17
10046,74860.48999999999,148696.97,61.0,2437.6552459016393,2,,
10047,114101.94,169087.96,62.0,2727.2251612903224,2,1.0,14932.62
10048,103798.12000000001,247737.2,101.0,2452.8435643564358,3,1.0,43211.52
10049,80075.41,84494.37,28.0,3017.656071428571,1,,
10050,43874.98,151855.4,59.0,2573.8203389830505,2,2.0,84063.22
10051,52774.42,71203.45999999999,22.0,3236.520909090909,1,1.0,99065.5
10052,30095.9,58535.75,21.0,2787.4166666666665,1,1.0,40879.03
10053,143937.62,203773.78,78.0,2612.484358974359,2,,
10054,42064.37,76330.0,29.0,2632.0689655172414,1,,
10055,46463.91,64653.229999999996,25.0,2586.1292,1,,
10056,134337.81,167591.57,67.0,2501.3667164179105,3,,
10057,,,,,1,,
10058,140239.97999999998,236769.85,92.0,2573.5853260869567,3,1.0,86520.89
10059,,,,,1,,
10060,102100.33,176035.33,68.0,2588.754852941176,2,,
10061,157374.59,222801.95,91.0,2448.373076923077,3,1.0,76525.78
10062,50299.19,159195.45,66.0,2412.052272727273,2,,
10063,,,,,1,,
10064,,,,,1,,
10065,86936.53,60110.09,29.0,2072.7617241379307,1,1.0,84322.28
10066,72568.26,193933.62,82.0,2365.044146341463,3,,
10067,95769.81,148338.9,60.0,2472.315,2,,
10068,,,,,1,,
10069,,,,,1,,
10070,,,,,1,,
10071,126762.04999999999,282779.07,110.0,2570.7188181818183,4,1.0,83515.17
10072,349192.47,341919.91,144.0,2374.443819444444,5,2.0,166783.49
10073,,,,,1,,
10074,,,,,1,,
10075,117277.82999999999,226483.23,94.0,2409.396063829787,3,1.0,77144.41
10076,,,,,1,,
10077,35001.41,90655.3,30.0,3021.8433333333332,1,,
10078,35753.88,69584.82,28.0,2485.172142857143,1,,
10079,84232.06,78443.38,30.0,2614.7793333333334,1,,
10080,39998.22,63812.92,26.0,2454.3430769230768,1,,
10081,8550.22,55768.49,24.0,2323.6870833333332,1,1.0,98129.49
